2015-12-28 06:29:50 status unpacked dpkg:amd64 1.17.25
2015-12-28 06:29:50 status unpacked dpkg:amd64 1.17.25
2015-12-28 06:29:50 install e2fslibs:amd64 <none> 1.42.12-1.1
2015-12-28 06:29:50 status half-installed e2fslibs:amd64 1.42.12-1.1
2015-12-28 06:29:50 status unpacked e2fslibs:amd64 1.42.12-1.1
2015-12-28 06:29:50 status unpacked e2fslibs:amd64 1.42.12-1.1
2015-12-28 06:29:50 install e2fsprogs:amd64 <none> 1.42.12-1.1
2015-12-28 06:29:50 status half-installed e2fsprogs:amd64 1.42.12-1.1
2015-12-28 06:29:51 status unpacked e2fsprogs:amd64 1.42.12-1.1
2015-12-28 06:29:51 status unpacked e2fsprogs:amd64 1.42.12-1.1
2015-12-28 06:29:51 install libcomerr2:amd64 <none> 1.42.12-1.1
2015-12-28 06:29:51 status half-installed libcomerr2:amd64 1.42.12-1.1
2015-12-28 06:29:51 status unpacked libcomerr2:amd64 1.42.12-1.1
2015-12-28 06:29:51 status unpacked libcomerr2:amd64 1.42.12-1.1
2015-12-28 06:29:51 install libss2:amd64 <none> 1.42.12-1.1
2015-12-28 06:29:51 status half-installed libss2:amd64 1.42.12-1.1
2015-12-28 06:29:51 status unpacked libss2:amd64 1.42.12-1.1
2015-12-28 06:29:51 status unpacked libss2:amd64 1.42.12-1.1
2015-12-28 06:29:51 install findutils:amd64 <none> 4.4.2-9+b1
2015-12-28 06:29:51 status half-installed findutils:amd64 4.4.2-9+b1
2015-12-28 06:29:52 status unpacked findutils:amd64 4.4.2-9+b1
2015-12-28 06:29:52 status unpacked findutils:amd64 4.4.2-9+b1
2015-12-28 06:29:52 install gcc-4.8-base:amd64 <none> 4.8.4-1
2015-12-28 06:29:52 status half-installed gcc-4.8-base:amd64 4.8.4-1
2015-12-28 06:29:52 status unpacked gcc-4.8-base:amd64 4.8.4-1
2015-12-28 06:29:52 status unpacked gcc-4.8-base:amd64 4.8.4-1
2015-12-28 06:29:52 install gcc-4.9-base:amd64 <none> 4.9.2-10
2015-12-28 06:29:52 status half-installed gcc-4.9-base:amd64 4.9.2-10
2015-12-28 06:29:52 status unpacked gcc-4.9-base:amd64 4.9.2-10
2015-12-28 06:29:52 status unpacked gcc-4.9-base:amd64 4.9.2-10
2015-12-28 06:29:52 install libgcc1:amd64 <none> 1:4.9.2-10
2015-12-28 06:29:52 status half-installed libgcc1:amd64 1:4.9.2-10
2015-12-28 06:29:53 status unpacked libgcc1:amd64 1:4.9.2-10
2015-12-28 06:29:53 status unpacked libgcc1:amd64 1:4.9.2-10
2015-12-28 06:29:53 install libc-bin:amd64 <none> 2.19-18+deb8u1
2015-12-28 06:29:53 status half-installed libc-bin:amd64 2.19-18+deb8u1
2015-12-28 06:29:53 status unpacked libc-bin:amd64 2.19-18+deb8u1
2015-12-28 06:29:53 status unpacked libc-bin:amd64 2.19-18+deb8u1
2015-12-28 06:29:53 upgrade libc6:amd64 2.19-18+deb8u1 2.19-18+deb8u1
2015-12-28 06:29:53 status half-configured libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:53 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:53 status half-installed libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:56 status half-installed libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:56 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:56 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:56 install multiarch-support:amd64 <none> 2.19-18+deb8u1
2015-12-28 06:29:56 status half-installed multiarch-support:amd64 2.19-18+deb8u1
2015-12-28 06:29:56 status unpacked multiarch-support:amd64 2.19-18+deb8u1
2015-12-28 06:29:56 status unpacked multiarch-support:amd64 2.19-18+deb8u1
2015-12-28 06:29:56 install grep:amd64 <none> 2.20-4.1
2015-12-28 06:29:56 status half-installed grep:amd64 2.20-4.1
2015-12-28 06:29:59 status unpacked grep:amd64 2.20-4.1
2015-12-28 06:29:59 status unpacked grep:amd64 2.20-4.1
2015-12-28 06:30:00 install gzip:amd64 <none> 1.6-4
2015-12-28 06:30:00 status half-installed gzip:amd64 1.6-4
2015-12-28 06:30:00 status unpacked gzip:amd64 1.6-4
2015-12-28 06:30:00 status unpacked gzip:amd64 1.6-4
2015-12-28 06:30:00 install hostname:amd64 <none> 3.15
2015-12-28 06:30:00 status half-installed hostname:amd64 3.15
2015-12-28 06:30:00 status unpacked hostname:amd64 3.15
2015-12-28 06:30:00 status unpacked hostname:amd64 3.15
2015-12-28 06:30:00 install init:amd64 <none> 1.22
2015-12-28 06:30:00 status half-installed init:amd64 1.22
2015-12-28 06:30:00 status unpacked init:amd64 1.22
2015-12-28 06:30:00 status unpacked init:amd64 1.22
2015-12-28 06:30:00 install insserv:amd64 <none> 1.14.0-5
2015-12-28 06:30:00 status half-installed insserv:amd64 1.14.0-5
2015-12-28 06:30:00 status unpacked insserv:amd64 1.14.0-5
2015-12-28 06:30:00 status unpacked insserv:amd64 1.14.0-5
2015-12-28 06:30:00 install libkmod2:amd64 <none> 18-3
2015-12-28 06:30:00 status half-installed libkmod2:amd64 18-3
2015-12-28 06:30:00 status unpacked libkmod2:amd64 18-3
2015-12-28 06:30:00 status unpacked libkmod2:amd64 18-3
2015-12-28 06:30:00 install libcap2:amd64 <none> 1:2.24-8
2015-12-28 06:30:00 status half-installed libcap2:amd64 1:2.24-8
2015-12-28 06:30:01 status unpacked libcap2:amd64 1:2.24-8
2015-12-28 06:30:01 status unpacked libcap2:amd64 1:2.24-8
2015-12-28 06:30:01 install libcap2-bin:amd64 <none> 1:2.24-8
2015-12-28 06:30:01 status half-installed libcap2-bin:amd64 1:2.24-8
2015-12-28 06:30:01 status unpacked libcap2-bin:amd64 1:2.24-8
2015-12-28 06:30:01 status unpacked libcap2-bin:amd64 1:2.24-8
2015-12-28 06:30:01 install libgcrypt20:amd64 <none> 1.6.3-2
2015-12-28 06:30:01 status half-installed libgcrypt20:amd64 1.6.3-2
